is_interesting;Spalte1;news;category;title;summary;link;date;time;datetime;ID;;;
;65;What's behind the fight for Libya?. The oil-rich North African country has been beset by a civil war for nearly a decade.;BBC News - World;What's behind the fight for Libya?;The oil-rich North African country has been beset by a civil war for nearly a decade.;https://www.bbc.co.uk/news/world-africa-51137009;(2020, 1, 17);(0, 4, 27);Fri, 17 Jan 2020 00:04:27 GMT;13a58d09ef0c7b5a73a2cd6b4e3a2336;;;
x;66;What it means to be mixed race in the US. The number of multi-racial people in the US is on the rise. But the experience comes with struggles.;BBC News - World;What it means to be mixed race in the US;The number of multi-racial people in the US is on the rise. But the experience comes with struggles.;https://www.bbc.co.uk/news/world-us-canada-51126871;(2020, 1, 16);(22, 49, 27);Thu, 16 Jan 2020 22:49:27 GMT;4d6edd3698341dffaf2c84790f0bf37f;;;
x;67;Putin's plans: What Russian president's surprise means. New PM, new government and plans to change the constitution - the BBC's Sarah Rainsford explains what's going on in Russia.;BBC News - World;Putin's plans: What Russian president's surprise means;New PM, new government and plans to change the constitution - the BBC's Sarah Rainsford explains what's going on in Russia.;https://www.bbc.co.uk/news/world-europe-51142210;(2020, 1, 16);(20, 43, 35);Thu, 16 Jan 2020 20:43:35 GMT;0d7b310d3afcf4fdcc224fb0a3486727;;;
x;68;Building collapse misses pedestrians by seconds. Security footage captures two people in Washington DC narrowly avoid being crushed by falling debris.;BBC News - World;Building collapse misses pedestrians by seconds;Security footage captures two people in Washington DC narrowly avoid being crushed by falling debris.;https://www.bbc.co.uk/news/world-us-canada-51069958;(2020, 1, 16);(18, 12, 28);Thu, 16 Jan 2020 18:12:28 GMT;203cb1e1ea58ca97534ab3f5e4a0ce29;;;
;69;Indians bake the world's 'longest cake'. Those who were lucky enough to grab a bite say it was 'up to the mark'.;BBC News - World;Indians bake the world's 'longest cake';Those who were lucky enough to grab a bite say it was 'up to the mark'.;https://www.bbc.co.uk/news/world-asia-india-51131418;(2020, 1, 16);(11, 23, 52);Thu, 16 Jan 2020 11:23:52 GMT;bc574ada510d82809efef37917d60e66;;;
x;70;Australia fires: Rain finally falls on some bushfires. Wet weather brings relief to some devastated areas, but the fire crisis is far from over.;BBC News - World;Australia fires: Rain finally falls on some bushfires;Wet weather brings relief to some devastated areas, but the fire crisis is far from over.;https://www.bbc.co.uk/news/world-australia-51135384;(2020, 1, 16);(10, 40, 42);Thu, 16 Jan 2020 10:40:42 GMT;65b6941f65f5adc3c3c323f32a61f7f1;;;
;71;"Why are Chinese fishermen finding so many 'submarine spies'?. Fisherman are catching foreign ""spy drones"" – giving us a rare insight into covert sea surveillance.";BBC News - World;Why are Chinese fishermen finding so many 'submarine spies'?;"Fisherman are catching foreign ""spy drones"" – giving us a rare insight into covert sea surveillance.";https://www.bbc.co.uk/news/world-asia-china-51130644;(2020, 1, 16);(6, 55, 28);Thu, 16 Jan 2020 06:55:28 GMT;d0bc2f4724679dd1cc4dadb137813146;;;
x;72;Taal volcano's inner lake all but gone in eruption. Satellites continue to monitor the Philippines volcano which has experienced a lull in activity.;BBC News - World;Taal volcano's inner lake all but gone in eruption;Satellites continue to monitor the Philippines volcano which has experienced a lull in activity.;https://www.bbc.co.uk/news/science-environment-44661949;(2020, 1, 16);(16, 17, 42);Thu, 16 Jan 2020 16:17:42 GMT;238b07b98cafe310dbd1d72110fb9100;;;
x;73;'I was sexually abused by a shaman at an ayahuasca retreat'. Ayahuasca's psychedelic powers are attracting more and more tourists. But the scene appears to have a dark side.;BBC News - World;'I was sexually abused by a shaman at an ayahuasca retreat';Ayahuasca's psychedelic powers are attracting more and more tourists. But the scene appears to have a dark side.;https://www.bbc.co.uk/news/stories-51053580;(2020, 1, 16);(1, 5, 51);Thu, 16 Jan 2020 01:05:51 GMT;4b40ae2216501fa5d18fed07ef6865f5;;;
x;74;Syria war: Society leaders hold secret peace summit in Berlin. Leading figures met this week to overcome the sectarian divides that are tearing their country apart.;BBC News - World;Syria war: Society leaders hold secret peace summit in Berlin;Leading figures met this week to overcome the sectarian divides that are tearing their country apart.;https://www.bbc.co.uk/news/world-europe-51133845;(2020, 1, 16);(13, 10, 31);Thu, 16 Jan 2020 13:10:31 GMT;8f69775dac3adf610aa0834b2595f3eb;;;
x;75;Climate change explained. It's been linked to a year of extremes – from bushfires to torrential rains – but what is it?;BBC News - World;Climate change explained;It's been linked to a year of extremes – from bushfires to torrential rains – but what is it?;https://www.bbc.co.uk/news/science-environment-51129250;(2020, 1, 16);(5, 0, 26);Thu, 16 Jan 2020 05:00:26 GMT;8c6a9769fe859c0bdf025bfa996eece9;;;
;76;Giant jet engines aim to make our flying greener. How much more efficiency can be wrung out of the jet engine - technology which is over 70 years old?;BBC News - World;Giant jet engines aim to make our flying greener;How much more efficiency can be wrung out of the jet engine - technology which is over 70 years old?;https://www.bbc.co.uk/news/business-50850242;(2020, 1, 17);(0, 21, 50);Fri, 17 Jan 2020 00:21:50 GMT;b5e5f675624889a616de7e05f81ef12c;;;
;77;What can I do about climate change?. From population to plants, your questions answered about climate change.;BBC News - World;What can I do about climate change?;From population to plants, your questions answered about climate change.;https://www.bbc.co.uk/news/science-environment-51134254;(2020, 1, 17);(0, 23, 50);Fri, 17 Jan 2020 00:23:50 GMT;5dc897af52b6bd47ff581a573c296425;;;
x;78;Facts and figures behind our climate and weather. What can the weather tell us about our changing planet? Ben Rich looks at the latest data in the first of our new monthly series, Climate Check.;BBC News - World;Facts and figures behind our climate and weather;What can the weather tell us about our changing planet? Ben Rich looks at the latest data in the first of our new monthly series, Climate Check.;https://www.bbc.co.uk/weather/features/51127701;(2020, 1, 15);(19, 23, 34);Wed, 15 Jan 2020 19:23:34 GMT;0c20f0b535828ba9630cfb1fcf7f32b3;;;
;79;What's your diet's carbon footprint?. Check the environmental impact of what you eat and drink.;BBC News - World;What's your diet's carbon footprint?;Check the environmental impact of what you eat and drink.;https://www.bbc.co.uk/news/science-environment-46459714;(2019, 8, 9);(6, 34, 55);Fri, 09 Aug 2019 06:34:55 GMT;a279e3fa0d124c1359408f34fdfedbdd;;;
x;80;Social media data needed for 'harm' research, say doctors. Understanding usage by children is key to studying potential harms and benefits, psychiatrists say.;BBC News - UK;Social media data needed for 'harm' research, say doctors;Understanding usage by children is key to studying potential harms and benefits, psychiatrists say.;https://www.bbc.co.uk/news/health-51134545;(2020, 1, 17);(11, 35, 18);Fri, 17 Jan 2020 11:35:18 GMT;90ff1928e913774b4dddc8d46647b460;;;
;81;Brexit: There will be no automatic deportation for EU citizens - Verhofstadt. The European Parliament's Brexit co-ordinator says he has received assurances from the UK government.;BBC News - UK;Brexit: There will be no automatic deportation for EU citizens - Verhofstadt;The European Parliament's Brexit co-ordinator says he has received assurances from the UK government.;https://www.bbc.co.uk/news/uk-politics-51146992;(2020, 1, 17);(10, 20, 51);Fri, 17 Jan 2020 10:20:51 GMT;7a0c478eb53827484f5398e1cf267515;;;
;82;Collector pays UK-record £1m for rare coin. Only six Edward VIII sovereigns were made but it is not just its rarity that fascinates historians.;BBC News - UK;Collector pays UK-record £1m for rare coin;Only six Edward VIII sovereigns were made but it is not just its rarity that fascinates historians.;https://www.bbc.co.uk/news/business-51134884;(2020, 1, 17);(8, 2, 28);Fri, 17 Jan 2020 08:02:28 GMT;1d08b3240e06a5d1947ca57322f8bd8a;;;
;83;Labour leadership: Long-Bailey and Thornberry launch campaigns. The Labour MPs set out their pitches, as they and other contenders prepare for the first hustings.;BBC News - UK;Labour leadership: Long-Bailey and Thornberry launch campaigns;The Labour MPs set out their pitches, as they and other contenders prepare for the first hustings.;https://www.bbc.co.uk/news/uk-politics-51146991;(2020, 1, 17);(11, 29, 40);Fri, 17 Jan 2020 11:29:40 GMT;c405d5763ff973e2471611a6c2fe84e1;;;
;84;Barton-on-Sea 'tornado' causes damage to homes. People living on the Hampshire coast woke to find damaged windows, fences and walls.;BBC News - UK;Barton-on-Sea 'tornado' causes damage to homes;People living on the Hampshire coast woke to find damaged windows, fences and walls.;https://www.bbc.co.uk/news/uk-england-hampshire-51147273;(2020, 1, 17);(11, 41, 12);Fri, 17 Jan 2020 11:41:12 GMT;abeb4c3a64a9b1aa867a0b704787885d;;;
;85;Derek Fowlds: Yes Minister and Heartbeat actor dies aged 82. The actor played Bernard in Yes Minister and was in the entire series of Heartbeat.;BBC News - UK;Derek Fowlds: Yes Minister and Heartbeat actor dies aged 82;The actor played Bernard in Yes Minister and was in the entire series of Heartbeat.;https://www.bbc.co.uk/news/entertainment-arts-51147182;(2020, 1, 17);(11, 59, 4);Fri, 17 Jan 2020 11:59:04 GMT;6384921e46f12a12778f9baf3f231671;;;
x;86;"Oscar Saxelby-Lee 'cancer-cell free' after treatment. The five-year-old's family says they ""are rejoicing at this magical time in our lives"".";BBC News - UK;Oscar Saxelby-Lee 'cancer-cell free' after treatment;"The five-year-old's family says they ""are rejoicing at this magical time in our lives"".";https://www.bbc.co.uk/news/uk-england-hereford-worcester-51147653;(2020, 1, 17);(10, 39, 22);Fri, 17 Jan 2020 10:39:22 GMT;51c32765a9f0710cf7425665712d4d86;;;
x;87;Ayia Napa false rape claim trial: Briton files appeal against conviction. Legal support group says the teenager did not get a fair trial and her rights have been breached.;BBC News - UK;Ayia Napa false rape claim trial: Briton files appeal against conviction;Legal support group says the teenager did not get a fair trial and her rights have been breached.;https://www.bbc.co.uk/news/uk-51144318;(2020, 1, 17);(3, 42, 4);Fri, 17 Jan 2020 03:42:04 GMT;5d9bf01c564bc832e7754f2108a0b3b6;;;
;88;Met Police probed for not investigating VIP abuse claims. The force ignored a recommendation to investigate the two men made by retired High Court judge.;BBC News - UK;Met Police probed for not investigating VIP abuse claims;The force ignored a recommendation to investigate the two men made by retired High Court judge.;https://www.bbc.co.uk/news/uk-51146111;(2020, 1, 17);(10, 16, 14);Fri, 17 Jan 2020 10:16:14 GMT;86059b76717dc126c4d6ddf21249131c;;;
;89;Edinburgh brothers set rowing world records in the Atlantic. The MacLean brothers from Edinburgh crossed the ocean in 35 days, setting three world records.;BBC News - UK;Edinburgh brothers set rowing world records in the Atlantic;The MacLean brothers from Edinburgh crossed the ocean in 35 days, setting three world records.;https://www.bbc.co.uk/news/uk-scotland-edinburgh-east-fife-51148801;(2020, 1, 17);(10, 44, 7);Fri, 17 Jan 2020 10:44:07 GMT;ed0135dd9715e436df2343beae522606;;;
;90;"Dorothy Woolmer: Burglar admits killing widow but denies rape. Dorothy Woolmer was found dead with ""blunt trauma injuries"" in August last year.";BBC News - UK;Dorothy Woolmer: Burglar admits killing widow but denies rape;"Dorothy Woolmer was found dead with ""blunt trauma injuries"" in August last year.";https://www.bbc.co.uk/news/uk-england-london-51150512;(2020, 1, 17);(11, 43, 49);Fri, 17 Jan 2020 11:43:49 GMT;f06016b3dfca2b50da864901ed2cf7b4;;;
;91;"Loose horse rescued from road by bus. A woman who helped stop traffic and calmed the horse said it was ""shaken up"".";BBC News - UK;Loose horse rescued from road by bus;"A woman who helped stop traffic and calmed the horse said it was ""shaken up"".";https://www.bbc.co.uk/news/uk-wales-51146051;(2020, 1, 17);(11, 5, 50);Fri, 17 Jan 2020 11:05:50 GMT;44e7fbbcedd5b782a2abbd513c969bfe;;;
;92;Harry and Meghan: How people split time between two countries. Four people share their experiences - good and bad - of having two homes thousands of miles apart.;BBC News - UK;Harry and Meghan: How people split time between two countries;Four people share their experiences - good and bad - of having two homes thousands of miles apart.;https://www.bbc.co.uk/news/uk-51124415;(2020, 1, 17);(0, 17, 48);Fri, 17 Jan 2020 00:17:48 GMT;3ba0049cf232e84ad9bbc01638b4394c;;;
;93;Brexit relationship: EU reveals clues ahead of talks with UK. Presentation slides published online give an insight into how the future relationship might pan out.;BBC News - UK;Brexit relationship: EU reveals clues ahead of talks with UK;Presentation slides published online give an insight into how the future relationship might pan out.;https://www.bbc.co.uk/news/world-europe-51133846;(2020, 1, 17);(2, 49, 30);Fri, 17 Jan 2020 02:49:30 GMT;80399de0dc0ed6465f13022726d41b60;;;
;94;Flybe: Viable business or destined to fail?. The airline has been through several restructurings - can this latest rescue save the company?;BBC News - UK;Flybe: Viable business or destined to fail?;The airline has been through several restructurings - can this latest rescue save the company?;https://www.bbc.co.uk/news/business-51133166;(2020, 1, 17);(0, 11, 8);Fri, 17 Jan 2020 00:11:08 GMT;ce4cdcee872c64b07b95f5e2de654169;;;
;95;Giant jet engines aim to make our flying greener. How much more efficiency can be wrung out of the jet engine - technology which is over 70 years old?;BBC News - UK;Giant jet engines aim to make our flying greener;How much more efficiency can be wrung out of the jet engine - technology which is over 70 years old?;https://www.bbc.co.uk/news/business-50850242;(2020, 1, 17);(0, 21, 50);Fri, 17 Jan 2020 00:21:50 GMT;b5e5f675624889a616de7e05f81ef12c;;;
;96;Comic fan has The Beano delivered every week for 53 years. Paul Cooper, 61, is marking his devotion to the comic with a trip to its publisher's home city.;BBC News - UK;Comic fan has The Beano delivered every week for 53 years;Paul Cooper, 61, is marking his devotion to the comic with a trip to its publisher's home city.;https://www.bbc.co.uk/news/uk-england-norfolk-51122968;(2020, 1, 17);(0, 36, 22);Fri, 17 Jan 2020 00:36:22 GMT;58cc13a45b643cf4c93a62899365726c;;;
x;97;Sir David Attenborough warns of climate 'crisis moment'. We're at a pivotal point in efforts to tackle climate change, the naturalist and broadcaster warns.;BBC News - UK;Sir David Attenborough warns of climate 'crisis moment';We're at a pivotal point in efforts to tackle climate change, the naturalist and broadcaster warns.;https://www.bbc.co.uk/news/science-environment-51123638;(2020, 1, 16);(5, 0, 11);Thu, 16 Jan 2020 05:00:11 GMT;92a19590ac43ffd2ba07858c8a493f24;;;
x;98;'Exercise is my medication'. Sport England's This Girl Can campaign has launched a new TV advert addressing taboo issues surrounding women's fitness journeys.;BBC News - UK;'Exercise is my medication';Sport England's This Girl Can campaign has launched a new TV advert addressing taboo issues surrounding women's fitness journeys.;https://www.bbc.co.uk/sport/51107007;(2020, 1, 16);(15, 53, 17);Thu, 16 Jan 2020 15:53:17 GMT;15b3713a6e75869a1f907bc6ebc27463;;;
;99;Inside the Old Bailey as filming ban to be lifted. From inside the Old Bailey, Clive Coleman explains what we can expect once cameras are allowed in.;BBC News - UK;Inside the Old Bailey as filming ban to be lifted;From inside the Old Bailey, Clive Coleman explains what we can expect once cameras are allowed in.;https://www.bbc.co.uk/news/uk-51130260;(2020, 1, 16);(0, 19, 0);Thu, 16 Jan 2020 00:19:00 GMT;1fde418c043b372574da3d6e148180d2;;;
;100;Climate change: Can Glasgow go carbon neutral?. As more cities declare climate emergencies, we look at how Glasgow aims to cancel out its carbon footprint.;BBC News - UK;Climate change: Can Glasgow go carbon neutral?;As more cities declare climate emergencies, we look at how Glasgow aims to cancel out its carbon footprint.;https://www.bbc.co.uk/news/science-environment-51141619;(2020, 1, 17);(0, 59, 43);Fri, 17 Jan 2020 00:59:43 GMT;06113c818fdff9e1076d7ce19c60709a;;;
;101;‘Submitting to my husband like it's 1959': Why I became a #TradWife. Alena is a #tradwife and she's not alone;BBC News - UK;‘Submitting to my husband like it's 1959': Why I became a #TradWife;Alena is a #tradwife and she's not alone;https://www.bbc.co.uk/news/stories-51113371;(2020, 1, 17);(2, 50, 49);Fri, 17 Jan 2020 02:50:49 GMT;2b240f1420f00bfd8993784c112c6880;;;
;102;Actor Laurence Fox's Question Time clash over Meghan. The Lewis actor clashed with an audience member over whether press coverage was racist.;BBC News - UK;Actor Laurence Fox's Question Time clash over Meghan;The Lewis actor clashed with an audience member over whether press coverage was racist.;https://www.bbc.co.uk/news/uk-51145321;(2020, 1, 17);(4, 21, 58);Fri, 17 Jan 2020 04:21:58 GMT;0d82e6e773fa57f76d2ee7fda98ba880;;;
;103;Mistaken identity: 'You called the wrong Robert Shapiro...'. Presenter Evan Davis said it was the worst mistake since he joined Radio 4's PM programme.;BBC News - UK;Mistaken identity: 'You called the wrong Robert Shapiro...';Presenter Evan Davis said it was the worst mistake since he joined Radio 4's PM programme.;https://www.bbc.co.uk/news/uk-51142491;(2020, 1, 16);(21, 25, 52);Thu, 16 Jan 2020 21:25:52 GMT;33c983b14bd79e113680dbdda08e0512;;;
;104;Keir Starmer: I think I can restore that trust in Labour. Labour leadership candidate Sir Keir Starmer explains why he's the right person for the job.;BBC News - UK;Keir Starmer: I think I can restore that trust in Labour;Labour leadership candidate Sir Keir Starmer explains why he's the right person for the job.;https://www.bbc.co.uk/news/uk-politics-51142450;(2020, 1, 16);(16, 59, 10);Thu, 16 Jan 2020 16:59:10 GMT;744602d41445b3fe7f179e8319e29211;;;
x;105;Scottish FA set to ban children heading footballs. Children in Scotland may be banned from heading the ball because of a suspected link between football and dementia.;BBC News - UK;Scottish FA set to ban children heading footballs;Children in Scotland may be banned from heading the ball because of a suspected link between football and dementia.;https://www.bbc.co.uk/news/uk-scotland-51140119;(2020, 1, 16);(14, 38, 50);Thu, 16 Jan 2020 14:38:50 GMT;82de5538cba9ff3c28b05010a7faef06;;;
;106;"Newspaper headlines: Harry's 'farewell' and social media firm 'payback'. The front pages question whether Prince Harry has had his ""swan song"" before he and Meghan ""step back"".";BBC News - UK;Newspaper headlines: Harry's 'farewell' and social media firm 'payback';"The front pages question whether Prince Harry has had his ""swan song"" before he and Meghan ""step back"".";https://www.bbc.co.uk/news/blogs-the-papers-51144299;(2020, 1, 17);(6, 20, 26);Fri, 17 Jan 2020 06:20:26 GMT;5dfe7232878029e4c0446372411d4a64;;;
x;107;Huddersfield murder inquiry: Man died in attack by 'several people'. Five people are arrested on suspicion of murdering the man in Huddersfield.;BBC News - UK;Huddersfield murder inquiry: Man died in attack by 'several people';Five people are arrested on suspicion of murdering the man in Huddersfield.;https://www.bbc.co.uk/news/uk-england-leeds-51146372;(2020, 1, 17);(11, 36, 38);Fri, 17 Jan 2020 11:36:38 GMT;bd82ac31bb6ab78dbe8ec568cd41c851;;;
;108;"COP26: Climate summit policing will cost more than £200m. Scotland's police chief says officers' accommodation alone for COP26 will cost ""tens of millions of pounds"".";BBC News - UK;COP26: Climate summit policing will cost more than £200m;"Scotland's police chief says officers' accommodation alone for COP26 will cost ""tens of millions of pounds"".";https://www.bbc.co.uk/news/uk-scotland-51149272;(2020, 1, 17);(11, 17, 1);Fri, 17 Jan 2020 11:17:01 GMT;a0588090bfc0ee8b1b13439ec93d44d9;;;
;109;Craigavon: Police arrest 40-year-old man on suspicion of murder. The PSNI says the body of a 25-year-old man was found in the Lake Road area of the town.;BBC News - UK;Craigavon: Police arrest 40-year-old man on suspicion of murder;The PSNI says the body of a 25-year-old man was found in the Lake Road area of the town.;https://www.bbc.co.uk/news/uk-northern-ireland-51148531;(2020, 1, 17);(10, 48, 1);Fri, 17 Jan 2020 10:48:01 GMT;f5ce16da5b63eaac589fe2d3c34f6e86;;;
;110;Violent crime fear over councils' CCTV switch off plans. A crime expert warns A&E departments will be overrun with serious assault injuries if plans go ahead.;BBC News - UK;Violent crime fear over councils' CCTV switch off plans;A crime expert warns A&E departments will be overrun with serious assault injuries if plans go ahead.;https://www.bbc.co.uk/news/uk-wales-51066170;(2020, 1, 17);(8, 8, 19);Fri, 17 Jan 2020 08:08:19 GMT;f8b9f65f54268b4588e70511c31e0a5d;;;
x;111;Dominic Hamlyn: Student died following underwater party trick. Dominic Hamlyn was swimming lengths underwater during a challenge on his brother's birthday.;BBC News - UK;Dominic Hamlyn: Student died following underwater party trick;Dominic Hamlyn was swimming lengths underwater during a challenge on his brother's birthday.;https://www.bbc.co.uk/news/uk-england-kent-51136284;(2020, 1, 16);(21, 16, 33);Thu, 16 Jan 2020 21:16:33 GMT;4c4332527db79cf472eac58d926f277a;;;
;112;Flybe confirms it will get a tax and duty holiday. But the struggling airline says the debt with tax authorities is far lower than reported.;BBC News - Business;Flybe confirms it will get a tax and duty holiday;But the struggling airline says the debt with tax authorities is far lower than reported.;https://www.bbc.co.uk/news/business-51147471;(2020, 1, 17);(11, 12, 59);Fri, 17 Jan 2020 11:12:59 GMT;ddebe7e37b368eacb9fca215c4cfa11b;;;
;113;Retail sales fall sharply in December. A fifth straight month without growth adds to pressure on the Bank of England to cut interest rates.;BBC News - Business;Retail sales fall sharply in December;A fifth straight month without growth adds to pressure on the Bank of England to cut interest rates.;https://www.bbc.co.uk/news/business-51147634;(2020, 1, 17);(11, 39, 0);Fri, 17 Jan 2020 11:39:00 GMT;6955475e75b617434a863e857a6c4f33;;;
;114;Carlos Ghosn's lawyers hit back at Nissan fraud claims. The fugitive businessman's defence team say Nissan's investigation is biased and designed to smear him.;BBC News - Business;Carlos Ghosn's lawyers hit back at Nissan fraud claims;The fugitive businessman's defence team say Nissan's investigation is biased and designed to smear him.;https://www.bbc.co.uk/news/business-51146775;(2020, 1, 17);(10, 46, 44);Fri, 17 Jan 2020 10:46:44 GMT;e1cb5a2fd257aedb82062416f43966ca;;;
;115;China's economic growth hits 30-year low. The world's second largest economy has seen weak domestic demand amid a trade war with the US.;BBC News - Business;China's economic growth hits 30-year low;The world's second largest economy has seen weak domestic demand amid a trade war with the US.;https://www.bbc.co.uk/news/business-51144892;(2020, 1, 17);(4, 44, 19);Fri, 17 Jan 2020 04:44:19 GMT;0e93da4394e5fb4ef6f076c6daf3f6be;;;
;116;Collector pays UK-record £1m for rare coin. Only six Edward VIII sovereigns were made but it is not just its rarity that fascinates historians.;BBC News - Business;Collector pays UK-record £1m for rare coin;Only six Edward VIII sovereigns were made but it is not just its rarity that fascinates historians.;https://www.bbc.co.uk/news/business-51134884;(2020, 1, 17);(8, 2, 28);Fri, 17 Jan 2020 08:02:28 GMT;1d08b3240e06a5d1947ca57322f8bd8a;;;
;117;"Entrepreneurs: From coal to coffee in ex-mining town. Having failed all his exams, Scott James started a coffee roastery in his ""forgotten"" community.";BBC News - Business;Entrepreneurs: From coal to coffee in ex-mining town;"Having failed all his exams, Scott James started a coffee roastery in his ""forgotten"" community.";https://www.bbc.co.uk/news/uk-wales-51128047;(2020, 1, 17);(10, 0, 55);Fri, 17 Jan 2020 10:00:55 GMT;ba946b212c6c21d1227877fccfd3d301;;;
;118;Mukesh Ambani: Asia's richest man in $13bn ruling boost. India's Supreme Court rejects telecom operator's plea for relief on government levies.;BBC News - Business;Mukesh Ambani: Asia's richest man in $13bn ruling boost;India's Supreme Court rejects telecom operator's plea for relief on government levies.;https://www.bbc.co.uk/news/business-51144891;(2020, 1, 17);(6, 41, 35);Fri, 17 Jan 2020 06:41:35 GMT;883b47f8386f9fcef55ebc2a369d6e22;;;
;119;Microsoft makes 'carbon negative' pledge. The tech giant promises to remove all the carbon it has emitted since its founding in 1975.;BBC News - Business;Microsoft makes 'carbon negative' pledge;The tech giant promises to remove all the carbon it has emitted since its founding in 1975.;https://www.bbc.co.uk/news/technology-51133811;(2020, 1, 16);(20, 32, 36);Thu, 16 Jan 2020 20:32:36 GMT;0a35f79b90d245f970bfc721f2dd5018;;;
;120;Costs double for stalled Liverpool and Birmingham hospitals, report finds. Two hospitals started by collapsed engineering giant Carillion look set to open in 2022, years late.;BBC News - Business;Costs double for stalled Liverpool and Birmingham hospitals, report finds;Two hospitals started by collapsed engineering giant Carillion look set to open in 2022, years late.;https://www.bbc.co.uk/news/uk-england-51137640;(2020, 1, 17);(0, 17, 21);Fri, 17 Jan 2020 00:17:21 GMT;a689d46120f7143657246aa56b787fd3;;;
;121;UK pub numbers rise for the first time in a decade. More venues opened in 2019 as more customers opted for food instead of just drinking alcohol.;BBC News - Business;UK pub numbers rise for the first time in a decade;More venues opened in 2019 as more customers opted for food instead of just drinking alcohol.;https://www.bbc.co.uk/news/business-51135755;(2020, 1, 16);(13, 27, 55);Thu, 16 Jan 2020 13:27:55 GMT;2c92f74170f9799c4d10b5df02b8e578;;;
;122;Flybe to switch Newquay-Heathrow flights to Gatwick. The change could anger firms in the South West, who value the international routes Heathrow provides.;BBC News - Business;Flybe to switch Newquay-Heathrow flights to Gatwick;The change could anger firms in the South West, who value the international routes Heathrow provides.;https://www.bbc.co.uk/news/business-51134859;(2020, 1, 16);(15, 6, 39);Thu, 16 Jan 2020 15:06:39 GMT;3c051388749c10f5475e58e25c0ea67f;;;
;123;Asda trials refills at 'sustainability store'. Shoppers can fill their own containers at the store, as the supermarket tries to reduce plastic waste.;BBC News - Business;Asda trials refills at 'sustainability store';Shoppers can fill their own containers at the store, as the supermarket tries to reduce plastic waste.;https://www.bbc.co.uk/news/business-51132164;(2020, 1, 16);(11, 4, 34);Thu, 16 Jan 2020 11:04:34 GMT;7592c703a8e3d6669dacbda5b3118c3a;;;
;124;Squishies squash sales at The Works. A super-soft foam toy had been a sales phenomenon for the discount retailer, but is now being shunned.;BBC News - Business;Squishies squash sales at The Works;A super-soft foam toy had been a sales phenomenon for the discount retailer, but is now being shunned.;https://www.bbc.co.uk/news/business-51133164;(2020, 1, 16);(10, 22, 1);Thu, 16 Jan 2020 10:22:01 GMT;9ebf1140e8e43b6ac25bde989eceba9f;;;
;125;"Climate change: Extinction Rebellion end blockade at Shell's Aberdeen HQ. Extinction Rebellion staged a 13-hour protest at the base in Altens ""to hold Shell to account"".";BBC News - Business;Climate change: Extinction Rebellion end blockade at Shell's Aberdeen HQ;"Extinction Rebellion staged a 13-hour protest at the base in Altens ""to hold Shell to account"".";https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-51132110;(2020, 1, 16);(20, 44, 37);Thu, 16 Jan 2020 20:44:37 GMT;f881c385082a67b92f0229737a511985;;;
;126;"US and China sign deal to ease trade war. Mr Trump has hailed the deal as a ""transformative"", but the majority of tariffs will remain in place.";BBC News - Business;US and China sign deal to ease trade war;"Mr Trump has hailed the deal as a ""transformative"", but the majority of tariffs will remain in place.";https://www.bbc.co.uk/news/business-51114425;(2020, 1, 15);(19, 24, 38);Wed, 15 Jan 2020 19:24:38 GMT;6d65f0d25b0b84c69f1ba938d1551896;;;
;127;"Estate agents report 'uplift' in housing market. Expectations of future sales have ""risen sharply"" according to property professionals.";BBC News - Business;Estate agents report 'uplift' in housing market;"Expectations of future sales have ""risen sharply"" according to property professionals.";https://www.bbc.co.uk/news/business-51127329;(2020, 1, 16);(0, 1, 57);Thu, 16 Jan 2020 00:01:57 GMT;676e8f44b43c3bda2856602bcbe1eb00;;;
;128;Twitter apologises for letting ads target neo-Nazis and bigots. Social network apologises for allowing the use of discriminatory ad keywords it had meant to ban.;BBC News - Business;Twitter apologises for letting ads target neo-Nazis and bigots;Social network apologises for allowing the use of discriminatory ad keywords it had meant to ban.;https://www.bbc.co.uk/news/technology-51112238;(2020, 1, 16);(0, 4, 19);Thu, 16 Jan 2020 00:04:19 GMT;111a3dc6dfdd89aaddb19a882809f6f6;;;
;129;NHS tells betting firms to stop 'vicious gambling cycle'. Free bets and other incentives should be banned to make gambling safer, a letter to companies says.;BBC News - Business;NHS tells betting firms to stop 'vicious gambling cycle';Free bets and other incentives should be banned to make gambling safer, a letter to companies says.;https://www.bbc.co.uk/news/health-51120456;(2020, 1, 16);(11, 3, 15);Thu, 16 Jan 2020 11:03:15 GMT;a47649daf134757d6a8520944655aa98;;;
;130;Empty business rates relief 'costs £1bn'. Experts say the system pits local authorities - which want stable income - against businesses.;BBC News - Business;Empty business rates relief 'costs £1bn';Experts say the system pits local authorities - which want stable income - against businesses.;https://www.bbc.co.uk/news/uk-england-48854450;(2020, 1, 16);(4, 26, 8);Thu, 16 Jan 2020 04:26:08 GMT;13e7d0067e24e6e117ceaefa918f86c3;;;
x;131;Why is kosher food soaring in popularity?. Sales of kosher accredited food is booming around the world, with more and more firms getting in on act.;BBC News - Business;Why is kosher food soaring in popularity?;Sales of kosher accredited food is booming around the world, with more and more firms getting in on act.;https://www.bbc.co.uk/news/business-51107136;(2020, 1, 16);(0, 6, 3);Thu, 16 Jan 2020 00:06:03 GMT;d4e8d309dfb51673bfebc6cc0812038a;;;
