,news,category,title,summary,link,date,time,datetime,ID,label
4,"Coronavirus: UK to monitor flights from China as precaution. Precautionary measures will apply to flights from Wuhan to Heathrow, the government says.",['BBC News - Health'],Coronavirus: UK to monitor flights from China as precaution,"Precautionary measures will apply to flights from Wuhan to Heathrow, the government says.",https://www.bbc.co.uk/news/uk-51202216,"(2020, 1, 22)","(20, 36, 38)","Wed, 22 Jan 2020 20:36:38 GMT",10ea8e2c934ca760e6e4d87d88a2e01e,6
171,"China coronavirus: Wuhan and Huanggang on lockdown. There are more than 500 confirmed cases of the virus, which has also spread abroad.","['BBC News - Home', 'BBC News - World', 'BBC News - Health']",China coronavirus: Wuhan and Huanggang on lockdown,"There are more than 500 confirmed cases of the virus, which has also spread abroad.",https://www.bbc.co.uk/news/world-asia-china-51217455,"(2020, 1, 23)","[(11, 5, 34) (11, 34, 53)]","['Thu, 23 Jan 2020 11:05:34 GMT' 'Thu, 23 Jan 2020 11:34:53 GMT']",d4844ce3ba0b9be8b302985242891a3f,6
38,"PMQs: Corbyn and Johnson on bonus for Greggs workers. Boris Johnson is asked about a £300 bonus to Greggs workers, as some on universal credit may not receive the full payment.","['BBC News - UK', 'BBC News - UK Politics']",PMQs: Corbyn and Johnson on bonus for Greggs workers,"Boris Johnson is asked about a £300 bonus to Greggs workers, as some on universal credit may not receive the full payment.",https://www.bbc.co.uk/news/uk-politics-51208902,"(2020, 1, 22)","(13, 11, 35)","Wed, 22 Jan 2020 13:11:35 GMT",4d14c2e8bca0f9016f032c653e00a4fc,1
14,"Protester says she was paid to appear at Huawei hearing. Others told media they were offered around C$100 to hold placard with slogans like ""Free Ms Meng"".",['BBC News - Business'],Protester says she was paid to appear at Huawei hearing,"Others told media they were offered around C$100 to hold placard with slogans like ""Free Ms Meng"".",https://www.bbc.co.uk/news/world-us-canada-51181833,"(2020, 1, 22)","(20, 5, 31)","Wed, 22 Jan 2020 20:05:31 GMT",27505d59ba2798311e7a25006c5712ad,4
28,Brexit: What would no-trade-deal mean for NI?. BBC News NI's Economics and Business Editor breaks down the implications of a no-trade-deal Brexit.,['BBC News - UK Politics'],Brexit: What would no-trade-deal mean for NI?,BBC News NI's Economics and Business Editor breaks down the implications of a no-trade-deal Brexit.,https://www.bbc.co.uk/news/uk-northern-ireland-50823494,"(2019, 12, 18)","(6, 20, 8)","Wed, 18 Dec 2019 06:20:08 GMT",3e45b8e9e6d5810f8000940737cd57d9,3
31,"The Papers: Fears over deadly virus and 'sour' UK-US relations. Thursday's newspapers feature a range of stories, including the latest on the Chinese coronavirus.","['BBC News - Home', 'BBC News - UK']",The Papers: Fears over deadly virus and 'sour' UK-US relations,"Thursday's newspapers feature a range of stories, including the latest on the Chinese coronavirus.",https://www.bbc.co.uk/news/blogs-the-papers-51215994,"(2020, 1, 23)","(6, 5, 52)","Thu, 23 Jan 2020 06:05:52 GMT",469bedc4f0c4443438992cc47af9315f,6
75,"Exams agency says appeal charges are not affecting students. The exams agency says there is no evidence that charges are ""a disincentive"" to state school pupils.",['BBC News - Family & Education'],Exams agency says appeal charges are not affecting students,"The exams agency says there is no evidence that charges are ""a disincentive"" to state school pupils.",https://www.bbc.co.uk/news/uk-scotland-51205950,"(2020, 1, 22)","(12, 57, 0)","Wed, 22 Jan 2020 12:57:00 GMT",83d90e8f771e53ef2ce85ef91e634984,10
35,Davos 2020: Nico Rosberg reveals his CEO secrets. Formula 1 star and entrepreneur Nico Rosberg shares his business advice in a special edition of CEO Secrets from the World Economic Forum in Davos.,['BBC News - Business'],Davos 2020: Nico Rosberg reveals his CEO secrets,Formula 1 star and entrepreneur Nico Rosberg shares his business advice in a special edition of CEO Secrets from the World Economic Forum in Davos.,https://www.bbc.co.uk/news/business-51216154,"(2020, 1, 22)","(22, 16, 56)","Wed, 22 Jan 2020 22:16:56 GMT",4e4d9d16dc850983878c7a6d8ae35438,13
41,"Labour leadership: Party needs to sell aspiration, says Long-Bailey. Labour leadership contender Rebecca Long-Bailey has said the party needs to do a better job of selling a message of aspiration to voters.",['BBC News - UK Politics'],"Labour leadership: Party needs to sell aspiration, says Long-Bailey",Labour leadership contender Rebecca Long-Bailey has said the party needs to do a better job of selling a message of aspiration to voters.,https://www.bbc.co.uk/news/uk-politics-51206020,"(2020, 1, 22)","(16, 58, 33)","Wed, 22 Jan 2020 16:58:33 GMT",561ec5d4188fcff23aea514004ce92ae,4
49,Does your company nurture neurodiverse talent?. Universal Music UK have changed their work culture to be more inclusive to neurodiverse people.,['BBC News - Business'],Does your company nurture neurodiverse talent?,Universal Music UK have changed their work culture to be more inclusive to neurodiverse people.,https://www.bbc.co.uk/news/uk-51014028,"(2020, 1, 17)","(0, 7, 9)","Fri, 17 Jan 2020 00:07:09 GMT",62716fa04e7645a1fe674e66d07b18a1,0
61,"Viewpoint: 'No crime, no impeachment' is a shaky defence. The White House defence that no crime means no impeachment ignores history, says legal scholar Jonathan Turley.",['BBC News - World'],"Viewpoint: 'No crime, no impeachment' is a shaky defence","The White House defence that no crime means no impeachment ignores history, says legal scholar Jonathan Turley.",https://www.bbc.co.uk/news/world-us-canada-51200828,"(2020, 1, 21)","(21, 12, 42)","Tue, 21 Jan 2020 21:12:42 GMT",78071b05f63a8ac130b2447a3d246083,9
1,Microsoft makes 'carbon negative' pledge. The tech giant promises to remove all the carbon it has emitted since its founding in 1975.,['BBC News - Science & Environment'],Microsoft makes 'carbon negative' pledge,The tech giant promises to remove all the carbon it has emitted since its founding in 1975.,https://www.bbc.co.uk/news/technology-51133811,"(2020, 1, 16)","(20, 32, 36)","Thu, 16 Jan 2020 20:32:36 GMT",0a35f79b90d245f970bfc721f2dd5018,2
122,Giant jet engines aim to make our flying greener. How much more efficiency can be wrung out of the jet engine - technology which is over 70 years old?,['BBC News - Business'],Giant jet engines aim to make our flying greener,How much more efficiency can be wrung out of the jet engine - technology which is over 70 years old?,https://www.bbc.co.uk/news/business-50850242,"(2020, 1, 17)","(0, 21, 50)","Fri, 17 Jan 2020 00:21:50 GMT",b5e5f675624889a616de7e05f81ef12c,2
59,Ivory Coast is using plastic waste to build schools. The West African country has partnered with UNICEF to transform landfill waste into bricks for schools.,"['BBC News - Home', 'BBC News - World', 'BBC News - Science & Environment']",Ivory Coast is using plastic waste to build schools,The West African country has partnered with UNICEF to transform landfill waste into bricks for schools.,https://www.bbc.co.uk/news/world-africa-51213133,"(2020, 1, 23)","(0, 32, 42)","Thu, 23 Jan 2020 00:32:42 GMT",771bf57c683f58653546c020cccddda7,2
139,"Malaysia returns 42 containers of 'illegal' plastic waste to UK. Malaysia will not become ""the garbage dump of the world"", says the country's environment minister.",['BBC News - Science & Environment'],Malaysia returns 42 containers of 'illegal' plastic waste to UK,"Malaysia will not become ""the garbage dump of the world"", says the country's environment minister.",https://www.bbc.co.uk/news/uk-51176312,"(2020, 1, 20)","(14, 5, 38)","Mon, 20 Jan 2020 14:05:38 GMT",c2018850cd9afcf7c69815a2e9956429,2
160,"Why is kosher food soaring in popularity?. Sales of kosher accredited food is booming around the world, with more and more firms getting in on act.",['BBC News - Business'],Why is kosher food soaring in popularity?,"Sales of kosher accredited food is booming around the world, with more and more firms getting in on act.",https://www.bbc.co.uk/news/business-51107136,"(2020, 1, 16)","(0, 6, 3)","Thu, 16 Jan 2020 00:06:03 GMT",d4e8d309dfb51673bfebc6cc0812038a,2
91,John Bercow: Formal complaint lodged against former Commons Speaker. Accusations against the ex-Speaker by one of his most senior advisers are thought to centre around bullying.,"['BBC News - Home', 'BBC News - UK', 'BBC News - UK Politics']",John Bercow: Formal complaint lodged against former Commons Speaker,Accusations against the ex-Speaker by one of his most senior advisers are thought to centre around bullying.,https://www.bbc.co.uk/news/uk-politics-51220144,"(2020, 1, 23)","(11, 54, 9)","Thu, 23 Jan 2020 11:54:09 GMT",963ff4bad990b27ee44608b62e6f4de2,4
191,Myanmar Rohingya: World court orders prevention of genocide. The decision comes despite Myanmar de facto leader Aung San Suu Kyi's defence arguments.,"['BBC News - Home', 'BBC News - World']",Myanmar Rohingya: World court orders prevention of genocide,The decision comes despite Myanmar de facto leader Aung San Suu Kyi's defence arguments.,https://www.bbc.co.uk/news/world-asia-51221029,"(2020, 1, 23)","(11, 49, 30)","Thu, 23 Jan 2020 11:49:30 GMT",f5195f82b4d60cced0cab7284139650f,5
65,"Harry and Meghan: How much privacy can they expect in Canada?. The couple complained about media intrusion within hours of relocating to Vancouver, Canada.","['BBC News - Home', 'BBC News - UK']",Harry and Meghan: How much privacy can they expect in Canada?,"The couple complained about media intrusion within hours of relocating to Vancouver, Canada.",https://www.bbc.co.uk/news/uk-51205484,"(2020, 1, 23)","(3, 59, 25)","Thu, 23 Jan 2020 03:59:25 GMT",7c9cb891c0facf33eba83db11637a142,8
18,"Labour leadership: Thornberry pressed on 'selective' school choice. Labour leadership hopeful Emily Thornberry says she wants ""good schools up and down the country"" as she's pushed on why she sent her son to a partially-selective school.",['BBC News - UK Politics'],Labour leadership: Thornberry pressed on 'selective' school choice,"Labour leadership hopeful Emily Thornberry says she wants ""good schools up and down the country"" as she's pushed on why she sent her son to a partially-selective school.",https://www.bbc.co.uk/news/uk-politics-51210235,"(2020, 1, 22)","(19, 2, 27)","Wed, 22 Jan 2020 19:02:27 GMT",2d3ceae45cb500ea60736e5aeaddfa26,4
214,"What does Trump actually believe on climate change?. He has called it all of these things: ""mythical"", ""a hoax"", not a hoax, and ""a very serious subject"".","['BBC News - Home', 'BBC News - Science & Environment']",What does Trump actually believe on climate change?,"He has called it all of these things: ""mythical"", ""a hoax"", not a hoax, and ""a very serious subject"".",https://www.bbc.co.uk/news/world-us-canada-51213003,"(2020, 1, 23)","(21, 35, 13)","Thu, 23 Jan 2020 21:35:13 GMT",edea6dc490c8385b85ccac03f5085069,11
46,"Boris Johnson: Five crucial policy decisions facing the PM. The fate of HS2, Scotland and social care are some of the issues that could define the PM's tenure.",['BBC News - UK Politics'],Boris Johnson: Five crucial policy decisions facing the PM,"The fate of HS2, Scotland and social care are some of the issues that could define the PM's tenure.",https://www.bbc.co.uk/news/uk-politics-51012378,"(2020, 1, 14)","(16, 13, 2)","Tue, 14 Jan 2020 16:13:02 GMT",39a52b6b64b8653289560f58e1ed421c,1
77,"Election 2019: The defeated MPs deciding what to do next. What is it like to lose your seat, clear out your office and work out what the future holds?",['BBC News - UK Politics'],Election 2019: The defeated MPs deciding what to do next,"What is it like to lose your seat, clear out your office and work out what the future holds?",https://www.bbc.co.uk/news/uk-scotland-scotland-politics-51191890,"(2020, 1, 22)","(0, 44, 0)","Wed, 22 Jan 2020 00:44:00 GMT",653194302969150737543bc0b63986d8,9
7,Brexit: EU leaders sign UK withdrawal deal. The deal formally ending UK membership is signed by EU leaders in Brussels.,"['BBC News - Home', 'BBC News - UK', 'BBC News - UK Politics']",Brexit: EU leaders sign UK withdrawal deal,The deal formally ending UK membership is signed by EU leaders in Brussels.,https://www.bbc.co.uk/news/world-europe-51234625,"(2020, 1, 24)","(9, 55, 8)","Fri, 24 Jan 2020 09:55:08 GMT",0d8b8937d550793e9fcdd62fbcec4301,5
1,China coronavirus: Incident team to deal with Scottish threat. The patients are being tested as a precaution in Scotland after returning from China with respiratory problems.,['BBC News - UK'],China coronavirus: Incident team to deal with Scottish threat,The patients are being tested as a precaution in Scotland after returning from China with respiratory problems.,https://www.bbc.co.uk/news/uk-scotland-51223111,"(2020, 1, 24)","(7, 38, 30)","Fri, 24 Jan 2020 07:38:30 GMT",039e96f4dd1f3808895f57b3f6791602,6
5,"Are packages safe, and other questions answered. Are packages bought from Wuhan safe? And is there a reason such viruses are emerging more from China?",['BBC News - Home'],"Are packages safe, and other questions answered",Are packages bought from Wuhan safe? And is there a reason such viruses are emerging more from China?,https://www.bbc.co.uk/news/world-asia-china-51176409,"(2020, 1, 23)","(12, 51, 38)","Thu, 23 Jan 2020 12:51:38 GMT",0b46c268ebf440ded513b048cffa5971,6
32,Davos 2020: Algae proposed as an alternative to plastic. A French think tank called Atelier Luma is investigating whether treated algae can be used an an alternative material to plastic.,['BBC News - Business'],Davos 2020: Algae proposed as an alternative to plastic,A French think tank called Atelier Luma is investigating whether treated algae can be used an an alternative material to plastic.,https://www.bbc.co.uk/news/business-51229544,"(2020, 1, 24)","(0, 17, 28)","Fri, 24 Jan 2020 00:17:28 GMT",2ff24e20bd8c2e156456c69098464dc7,2
43,How the energy drink became a million dollar idea. The BBC's Aaron Heslehurst explains how the energy drink became a million dollar idea.,['BBC News - Business'],How the energy drink became a million dollar idea,The BBC's Aaron Heslehurst explains how the energy drink became a million dollar idea.,https://www.bbc.co.uk/news/business-51182256,"(2020, 1, 24)","(0, 35, 37)","Fri, 24 Jan 2020 00:35:37 GMT",3a240aa3c73034b883148629b9f4f61b,2
1,"China virus: What's life like in quarantined Wuhan?. The city is at the centre of a deadly virus outbreak, and has been sealed off by authorities.",['BBC News - Home'],China virus: What's life like in quarantined Wuhan?,"The city is at the centre of a deadly virus outbreak, and has been sealed off by authorities.",https://www.bbc.co.uk/news/world-asia-china-51232613,"(2020, 1, 24)","(5, 40, 10)","Fri, 24 Jan 2020 05:40:10 GMT",04bb3ebf6548d6b06a22ac89f70ca188,6
27,"New China virus: 'Wash your hands, be honest with your doctors'. A public health expert gives advice on how to try and avoid infection from the new China virus.",['BBC News - Health'],"New China virus: 'Wash your hands, be honest with your doctors'",A public health expert gives advice on how to try and avoid infection from the new China virus.,https://www.bbc.co.uk/news/world-asia-china-51187006,"(2020, 1, 21)","(5, 56, 5)","Tue, 21 Jan 2020 05:56:05 GMT",2816b002d3f43ad0d038fb89b2baebc6,6
10,The papers: Tests for 'killer virus' in Britain and HS2 report. Many of Friday's newspapers focus on fears that coronavirus has spread from China to the UK.,['BBC News - Home'],The papers: Tests for 'killer virus' in Britain and HS2 report,Many of Friday's newspapers focus on fears that coronavirus has spread from China to the UK.,https://www.bbc.co.uk/news/blogs-the-papers-51230904,"(2020, 1, 24)","(5, 52, 6)","Fri, 24 Jan 2020 05:52:06 GMT",12bb2a3dc810d95547ddc2bf138b957d,6
35,Coronavirus: What's the difference between pandemic and epidemic?. Concerns are growing that the recently-detected coronavirus may spread. Dr Rosalind Eggo explains.,"['BBC News - Home', 'BBC News - World', 'BBC News - UK', 'BBC News - Health']",Coronavirus: What's the difference between pandemic and epidemic?,Concerns are growing that the recently-detected coronavirus may spread. Dr Rosalind Eggo explains.,https://www.bbc.co.uk/news/health-51224894,"(2020, 1, 24)","(0, 9, 7)","Fri, 24 Jan 2020 00:09:07 GMT",35c76d68a03ee52dbc7420511da630cd,6
50,News Daily: UK tests for China virus and US rejects Harry Dunn case extradition. Your morning briefing for 24 January 2020.,['BBC News - Home'],News Daily: UK tests for China virus and US rejects Harry Dunn case extradition,Your morning briefing for 24 January 2020.,https://www.bbc.co.uk/news/uk-51219086,"(2020, 1, 24)","(6, 34, 24)","Fri, 24 Jan 2020 06:34:24 GMT",49c41c1ba5c506c6869a4443a4c48ee5,8
100,"Six charts on Britain's most diverse Parliament. BBC analysis of gender, race and sexuality shows that the 2019 intake is set to be the most diverse yet.",['BBC News - UK Politics'],Six charts on Britain's most diverse Parliament,"BBC analysis of gender, race and sexuality shows that the 2019 intake is set to be the most diverse yet.",https://www.bbc.co.uk/news/election-2019-50808536,"(2019, 12, 17)","(14, 13, 46)","Tue, 17 Dec 2019 14:13:46 GMT",903d48ecddfc5e2ba645923c9b320bc4,0
5,What can school strikers learn from protest veterans?. Do today's school strikers think protests lead to change and what can they learn from the past?,"['BBC News - Home', 'BBC News - World']",What can school strikers learn from protest veterans?,Do today's school strikers think protests lead to change and what can they learn from the past?,https://www.bbc.co.uk/news/world-51223256,"(2020, 1, 24)","(0, 27, 48)","Fri, 24 Jan 2020 00:27:48 GMT",0f8274f3003d14d519c8a0b03709c9e3,4
6,Grayson Perry on his new exhibition and being an 'outsider'. The celebrated artist has put together a new exhibition of some of his earliest works.,"['BBC News - Home', 'BBC News - UK', 'BBC News - Entertainment & Arts']",Grayson Perry on his new exhibition and being an 'outsider',The celebrated artist has put together a new exhibition of some of his earliest works.,https://www.bbc.co.uk/news/entertainment-arts-51221365,"(2020, 1, 24)","(0, 28, 11)","Fri, 24 Jan 2020 00:28:11 GMT",11406610225809183b23efb297e3114d,0
27,"Deepfakes: A threat to democracy or just a bit of fun?. Deepfakes, or computer-generated images of people, can be dangerous for democracy, warn experts.","['BBC News - Business', 'BBC News - Technology']",Deepfakes: A threat to democracy or just a bit of fun?,"Deepfakes, or computer-generated images of people, can be dangerous for democracy, warn experts.",https://www.bbc.co.uk/news/business-51204954,"(2020, 1, 23)","(17, 17, 26)","Thu, 23 Jan 2020 17:17:26 GMT",312e558cff66b2124803206208c72633,4
165,"China coronavirus: Cases 'highly likely' in the UK. So far 14 people have been tested in the UK, with nine awaiting results and five getting the all-clear.","['BBC News - Home', 'BBC News - UK', 'BBC News - Health']",China coronavirus: Cases 'highly likely' in the UK,"So far 14 people have been tested in the UK, with nine awaiting results and five getting the all-clear.",https://www.bbc.co.uk/news/uk-51232163,"(2020, 1, 24)","(9, 36, 18)","Fri, 24 Jan 2020 09:36:18 GMT",d1fc62a20ef191496381efdc31fc2803,0
47,Tesco to ditch plastic-wrap for multipack tins. Supermarket giant says the change will remove 350 tonnes of plastic from the environment.,"['BBC News - Home', 'BBC News - UK', 'BBC News - Business']",Tesco to ditch plastic-wrap for multipack tins,Supermarket giant says the change will remove 350 tonnes of plastic from the environment.,https://www.bbc.co.uk/news/business-51223214,"(2020, 1, 24)","(0, 39, 6)","Fri, 24 Jan 2020 00:39:06 GMT",50b71e5f73ce1376315fc025b67c22c1,2
